lga,Borehole,Don't_Know,Handpump,Overhead_Tank,Rainwater_Harvesting_System,Tap,Unimproved,Unimproved_Large_Diameter_Well,Unimproved_Rainwater_Harvesting_System,Unimproved_Well,Unprotected_Spring,Untreated_Surface_Water,Average_Nighttime_mean,AREA,Latitude,Longitude,PERIMETER,Population,geometry,GROUPED_STATE,state_centroid,Distance_to_Center,pop_density,safe_water,unsafe_water,safe_ratio,unsafe_ratio,water_diversity,climate_stress,accessibility,compactness,Solar_Tier,Solar_Tier_Label,Cluster,Priority_Index,Recommendations,State_Allocation
jigawa roni,102,2,0,0,0,70,0,0,0,114,1,1,0.008958682,237.79,12.46513378,8.316402732,110.887,106491.6266,POINT (8.316402732 12.56151162),Jigawa,POINT (9.456125207888888 12.30219624814815),1.168850625,447.8389613,172,116,0.00161515,0.001089288,5,2.00E-05,0.004915474,51.7091836,0.422280472,Medium,2,0.369762086,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",4.112697275
jigawa sule tankarkar,0,7,76,0,0,20,13,1,0,0,0,0,0.042741826,1488.303,12.46513378,9.170087581,180.385,207110.6545,POINT (9.170087581 12.62622333),Jigawa,POINT (9.456125207888888 12.30219624814815),0.432216466,139.158931,20,14,9.66E-05,6.76E-05,3,0.000307144,0.000290409,21.86298638,0.411009174,Medium,1,0.34589549,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",4.112697275
jigawa taura,102,0,0,0,0,67,0,0,0,30,0,0,0.057987139,678.662,12.23304748,9.342632256,138.645,195141.845,POINT (9.342632256 12.23304748),Jigawa,POINT (9.456125207888888 12.30219624814815),0.132899218,287.5390769,169,30,0.000866037,0.000153734,3,0.000201667,0.000195825,28.32401995,0.532372215,Medium,1,0.35739398,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",4.112697275
jigawa yankwashi,102,0,0,0,0,81,0,0,0,52,0,0,0.087393344,448.059,12.46513378,8.494743226,112.758,90451.7534,POINT (8.494743226 12.73012806),Jigawa,POINT (9.456125207888888 12.30219624814815),1.052321695,201.8746491,183,52,0.002023178,0.000574892,3,0.000432909,0.002348623,28.37654542,0.535517693,Medium,2,0.35261483,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",4.112697275
kaduna birnin gwari,2,1,76,0,0,33,4,1,0,0,0,0,0.017384537,2700.759,10.8573347,6.654622958,270.565,427405.9482,POINT (6.654622958 10.8573347),Kaduna,POINT (7.86238605273913 10.407251989869565),1.288901136,158.2540124,35,5,8.19E-05,1.17E-05,4,0.000109852,0.000477237,27.10549857,0.336304063,Medium,1,0.34566329,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna chikun,102,1,0,0,0,50,0,0,0,22,0,0,0.124498362,2700.759,10.36694454,7.240920672,270.565,427405.9482,POINT (7.240920672 10.36694454),Kaduna,POINT (7.86238605273913 10.407251989869565),0.622771154,158.2540124,152,22,0.000355634,5.15E-05,3,0.0007867,0.000230591,27.10549857,0.525819135,Medium,1,0.351832668,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna giwa,0,0,40,1,0,6,0,0,0,0,0,0,0.014821193,1957.978,11.10451776,7.392072752,214.4,377897.4489,POINT (7.392072752 11.10451776),Kaduna,POINT (7.86238605273913 10.407251989869565),0.841055382,193.00393,7,0,1.85E-05,0,2,7.68E-05,0.000429553,23.47695429,0.357273919,Medium,1,0.348259127,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna igabi,40,11,0,0,0,44,0,0,0,7,1,1,0.268399037,2700.759,10.71688931,7.547071207,270.565,427405.9482,POINT (7.547071207 10.71688931),Kaduna,POINT (7.86238605273913 10.407251989869565),0.44192615,158.2540124,84,9,0.000196534,2.11E-05,5,0.001696001,0.00016363,27.10549857,0.591087811,Medium,1,0.360065058,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna ikara,1,0,76,0,0,16,0,0,0,0,0,0,-0.000204,902.758,11.25264792,8.196087483,204.695,344838.1418,POINT (8.196087483 11.25264792),Kaduna,POINT (7.86238605273913 10.407251989869565),0.908873436,381.9829254,17,0,4.93E-05,0,2,-5.34E-07,0.001006774,46.41337216,0.32870249,Low,1,0.030730019,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna jaba,102,6,0,0,0,12,0,0,0,20,0,0,0.034061751,429.905,9.448955533,8.03468141,98.461,157052.3173,POINT (8.03468141 9.448955533),Kaduna,POINT (7.86238605273913 10.407251989869565),0.973662051,365.3186571,114,20,0.000725873,0.000127346,3,9.32E-05,0.002264831,22.55049027,0.514023591,Medium,1,0.362891524,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna jema a,102,3,0,0,0,71,2,0,0,4,0,0,0.010746586,1712.243,9.33521727,8.248236945,217.579,258235.1183,POINT (8.248236945 9.33521727),Kaduna,POINT (7.86238605273913 10.407251989869565),1.139359185,150.8168632,173,6,0.000669932,2.32E-05,4,7.13E-05,0.000665419,27.64830765,0.299868938,Low,1,0.012081056,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kachia,9,0,76,0,0,10,0,0,0,0,0,0,0.000544,2700.759,9.818531789,7.648666673,270.565,338468.7953,POINT (7.648666673 9.818531789),Kaduna,POINT (7.86238605273913 10.407251989869565),0.62631258,125.3235832,19,0,5.61E-05,0,2,4.34E-06,0.000231902,27.10549857,0.195806029,Low,1,0.009328104,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kaduna north,22,9,0,0,0,56,1,0,0,17,0,0,1.451075095,107.371,10.56083239,7.455289515,53.048,312885.45,POINT (7.455289515 10.56083239),Kaduna,POINT (7.86238605273913 10.407251989869565),0.435102896,2914.059197,78,18,0.000249293,5.75E-05,4,0.000497957,0.004052332,26.20903507,0.958584535,High,0,0.9121062,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kaduna south,83,3,0,0,0,20,0,0,0,3,0,0,1.451075095,107.371,10.47372385,7.422602543,50.841,305109.466,POINT (7.422602543 10.47372385),Kaduna,POINT (7.86238605273913 10.407251989869565),0.444778646,2841.637556,103,3,0.000337584,9.83E-06,3,0.000510647,0.004142447,24.07360722,0.957011796,High,0,0.906138181,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kagarko,0,0,66,7,0,6,5,0,0,0,0,0,0.048653405,2235.093,9.437805796,7.616832014,249.469,306589.9636,POINT (7.616832014 9.437805796),Kaduna,POINT (7.86238605273913 10.407251989869565),1.000061352,137.1710097,13,5,4.24E-05,1.63E-05,3,0.000354692,0.000447436,27.8443814,0.421494102,Medium,1,0.346126795,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kajuru,16,2,0,0,0,65,0,0,0,2,0,1,-0.003316936,2234.228,10.2523021,7.885087489,201.982,183670.5509,POINT (7.885087489 10.2523021),Kaduna,POINT (7.86238605273913 10.407251989869565),0.156604034,82.20761305,81,3,0.000441007,1.63E-05,4,-4.03E-05,7.01E-05,18.25987693,0.115858453,Low,1,0.005330661,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kaura,4,11,0,0,0,17,1,0,0,5,1,0,0.05544266,508.776,9.593169817,8.457096992,104.383,166793.101,POINT (8.457096992 9.593169817),Kaduna,POINT (7.86238605273913 10.407251989869565),1.008172052,327.8320931,21,7,0.000125904,4.20E-05,5,0.000169119,0.001981564,21.41573244,0.545740498,Medium,1,0.360391069,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kauru,0,0,67,2,0,6,14,0,0,0,0,0,-0.003590599,2700.759,10.26329012,8.286802621,270.565,336285.4222,POINT (8.286802621 10.26329012),Kaduna,POINT (7.86238605273913 10.407251989869565),0.448167874,124.5151538,8,14,2.38E-05,4.16E-05,3,-2.88E-05,0.000165941,27.10549857,0.132372215,Low,1,0.008987136,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kubau,0,0,0,0,0,7,0,0,0,0,0,0,-0.002991397,2428.078,10.84709665,8.343238003,248.365,427405.9482,POINT (8.343238003 10.84709665),Kaduna,POINT (7.86238605273913 10.407251989869565),0.651676241,176.026449,7,0,1.64E-05,0,1,-1.70E-05,0.000268392,25.4049389,0.218086501,Low,1,0.013371147,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna kudan,0,0,65,13,0,6,14,0,0,0,0,0,0.045997412,395.747,11.25202374,7.782917413,92.978,162827.5088,POINT (7.782917413 11.25202374),Kaduna,POINT (7.86238605273913 10.407251989869565),0.84850137,411.4434444,19,14,0.000116688,8.60E-05,3,0.000111795,0.00214405,21.84453321,0.561992136,Medium,1,0.366886557,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna lere,2,0,62,0,0,6,0,0,0,0,0,0,-0.00202759,2325.557,10.32653332,8.555375355,233.654,427405.9482,POINT (8.555375355 10.32653332),Kaduna,POINT (7.86238605273913 10.407251989869565),0.697674478,183.7864856,8,0,1.87E-05,0,2,-1.10E-05,0.000300003,23.4757487,0.229619921,Low,1,0.014073674,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna makarfi,25,0,0,0,0,57,0,0,0,26,0,0,0.023619613,518.896,11.30040706,7.971482223,95.01,321632.0574,POINT (7.971482223 11.30040706),Kaduna,POINT (7.86238605273913 10.407251989869565),0.899793284,619.8391535,82,26,0.00025495,8.08E-05,3,3.81E-05,0.001734053,17.39635707,0.536828309,Medium,1,0.383627653,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna sabon gari,29,0,0,0,0,35,0,0,0,15,0,0,0.907658277,244.708,11.15950119,7.688105219,70.784,320434.7833,POINT (7.688105219 11.15950119),Kaduna,POINT (7.86238605273913 10.407251989869565),0.772173988,1309.457735,64,15,0.000199729,4.68E-05,3,0.000693156,0.003155491,20.47491155,0.868414155,High,0,0.779792014,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna sanga,4,3,0,0,0,6,0,0,0,0,0,0,0.009227136,1323.478,9.213472919,8.481690889,203.467,214063.2505,POINT (8.481690889 9.213472919),Kaduna,POINT (7.86238605273913 10.407251989869565),1.344859454,161.742961,10,0,4.67E-05,0,2,5.70E-05,0.001016156,31.28032358,0.299606815,Low,1,0.012849625,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna soba,102,3,0,0,0,6,0,0,0,114,0,0,-0.002076367,2159.857,10.93982174,7.985741605,192.611,427405.9482,POINT (7.985741605 10.93982174),Kaduna,POINT (7.86238605273913 10.407251989869565),0.546669124,197.886225,108,114,0.000252687,0.000266725,3,-1.05E-05,0.000253104,17.17659888,0.239056356,Low,1,0.015434164,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna zangon kataf,78,0,0,0,0,31,0,0,0,17,0,0,0.017815229,2633.826,9.822633253,8.22597972,213.156,360622.884,POINT (8.22597972 9.822633253),Kaduna,POINT (7.86238605273913 10.407251989869565),0.688461635,136.9197829,109,17,0.000302255,4.71E-05,3,0.000130114,0.000261392,17.25075246,0.319528178,Low,1,0.011469922,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kaduna zaria,102,5,0,0,0,16,1,0,0,21,0,1,0.507565908,303.404,11.023143,7.714277512,82.388,427405.9482,POINT (7.714277512 11.023143),Kaduna,POINT (7.86238605273913 10.407251989869565),0.63344919,1408.702417,118,23,0.000276084,5.38E-05,5,0.000360307,0.002087808,22.37209313,0.840891219,High,0,0.785068583,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",3.373294503
kano ajingi,36,0,0,0,0,116,0,0,0,114,0,1,0.003929493,693.982,11.94796489,9.029501195,128.946,239619.6164,POINT (9.029501195 11.94796489),Kano,POINT (8.485455561340912 11.84524620772727),0.553657637,345.2821779,152,115,0.000634339,0.000479927,4,1.14E-05,0.000797798,23.95893685,0.356487549,Medium,2,0.360708924,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano albasu,31,1,0,0,0,127,0,0,0,114,0,2,0.009702905,460.539,11.62254543,9.091499579,117.04,213533.3643,POINT (9.091499579 11.62254543),Kano,POINT (8.485455561340912 11.84524620772727),0.645666313,463.6596777,158,116,0.000739931,0.000543241,4,2.09E-05,0.00140198,29.74419452,0.433027523,Medium,2,0.370729169,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano bagwai,0,0,76,14,0,6,14,0,0,0,0,0,0.014942649,383.842,12.08016926,8.118563776,85.513,211456.3729,POINT (8.118563776 12.08016926),Kano,POINT (8.485455561340912 11.84524620772727),0.435658608,550.8943078,20,14,9.46E-05,6.62E-05,3,2.71E-05,0.001134995,19.05073746,0.480209699,Medium,1,0.377757302,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano bebeji,35,1,0,0,0,122,0,0,0,114,0,2,0.118318925,758.962,11.49166084,8.284119602,113.861,248847.2285,POINT (8.284119602 11.49166084),Kano,POINT (8.485455561340912 11.84524620772727),0.40688915,327.8783767,157,116,0.000630909,0.000466149,4,0.000360862,0.000536113,17.08165537,0.617824377,Medium,2,0.362417336,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano bichi,58,11,0,0,0,70,0,0,0,97,0,0,0.022093655,610.056,12.24283022,8.245625112,127.066,427405.9482,POINT (8.245625112 12.24283022),Kano,POINT (8.485455561340912 11.84524620772727),0.464318523,700.6011714,128,97,0.000299481,0.000226951,3,3.15E-05,0.000761108,26.46604305,0.538925295,Medium,1,0.390413599,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano bunkure,0,0,67,16,0,6,14,0,0,0,0,0,0.057344632,470.368,11.66315062,8.567959462,118.722,242175.3577,POINT (8.567959462 11.66315062),Kano,POINT (8.485455561340912 11.84524620772727),0.199914223,514.8635913,22,14,9.08E-05,5.78E-05,3,0.000111378,0.000425017,29.96571468,0.604718218,Medium,1,0.3755057,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano dala,2,2,0,0,0,39,0,0,0,0,0,0,1.451075095,107.371,11.99837759,8.462518711,50.841,427405.9482,POINT (8.462518711 11.99837759),Kano,POINT (8.485455561340912 11.84524620772727),0.154839657,3980.646061,41,0,9.59E-05,0,2,0.000364533,0.001442099,24.07360722,0.968545216,High,0,0.999979766,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano dambatta,66,0,0,0,0,68,1,0,0,104,0,0,0.015897551,800.022,12.39952488,8.619752326,135.711,367982.7104,POINT (8.619752326 12.39952488),Kano,POINT (8.485455561340912 11.84524620772727),0.570316112,459.9657389,134,105,0.000364148,0.000285339,4,3.46E-05,0.000712876,23.02121132,0.469200524,Medium,1,0.370372697,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano dawakin kudu,63,0,0,0,0,81,0,0,0,63,0,2,0.212572162,351.8,11.79647742,8.64593769,101.37,382454.3916,POINT (8.64593769 11.79647742),Kano,POINT (8.485455561340912 11.84524620772727),0.167728675,1087.135849,144,65,0.000376515,0.000169955,4,0.000195534,0.000476773,29.20942837,0.780865007,High,0,0.756780669,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano dawakin tofa,102,0,0,0,0,102,0,0,0,104,0,1,0.125491925,449.088,12.12117243,8.368692298,115.287,424208.6994,POINT (8.368692298 12.12117243),Kano,POINT (8.485455561340912 11.84524620772727),0.299614652,944.6003888,204,105,0.000480895,0.00024752,4,0.000132852,0.000667162,29.59574152,0.725032765,High,1,0.74435328,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano doguwa,18,0,0,0,0,34,0,0,0,41,0,1,0.004804571,1445.992,10.83418793,8.646021817,200.421,193906.3383,POINT (8.646021817 10.83418793),Kano,POINT (8.485455561340912 11.84524620772727),1.023728657,134.0991778,52,42,0.000268171,0.000216599,4,3.58E-05,0.000707977,27.77925275,0.241153342,Low,1,0.010491248,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano fagge,15,0,0,0,0,14,0,0,0,1,0,0,1.451075095,107.371,11.98513403,8.553782299,50.841,291916.8191,POINT (8.553782299 11.98513403),Kano,POINT (8.485455561340912 11.84524620772727),0.155682838,2718.767815,29,1,9.93E-05,3.43E-06,3,0.000533725,0.001449952,24.07360722,0.95491481,High,0,0.896076515,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano gabasawa,7,0,62,0,0,26,5,1,0,0,0,0,0.023478853,660.079,12.15378945,8.835443657,116.994,262875.5934,POINT (8.835443657 12.15378945),Kano,POINT (8.485455561340912 11.84524620772727),0.466573252,398.2486845,33,6,0.000125535,2.28E-05,4,5.90E-05,0.000706845,20.7362998,0.487287025,Medium,1,0.36526244,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano garko,49,1,0,0,0,124,2,0,0,114,1,2,-0.003368476,458.608,11.55063808,8.808933781,127.175,219544.2736,POINT (8.808933781 11.55063808),Kano,POINT (8.485455561340912 11.84524620772727),0.43752955,478.7188047,173,119,0.000787996,0.000542032,6,-7.04E-06,0.000954038,35.26645986,0.33604194,Medium,2,0.3717329,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano garun mallam,2,1,73,0,0,19,0,1,0,0,0,0,0.127468583,240.516,11.64693873,8.373045626,69.719,150436.4323,POINT (8.373045626 11.64693873),Kano,POINT (8.485455561340912 11.84524620772727),0.227951419,625.4736995,21,1,0.000139594,6.65E-06,3,0.000203795,0.00094776,20.2096283,0.699082569,High,1,0.718171052,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano gaya,17,1,0,0,0,127,0,0,0,91,0,0,0.003059412,619.544,11.77295068,9.016087206,119.561,265273.4781,POINT (9.016087206 11.77295068),Kano,POINT (8.485455561340912 11.84524620772727),0.535533926,428.1753646,144,91,0.000542836,0.000343042,3,7.15E-06,0.0008644,23.07315174,0.371166448,Medium,1,0.367505883,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano gazewa,92,1,0,0,0,126,0,0,0,114,1,1,0.959274472,364.907,12.03363736,8.703944396,89.021,399867.5522,POINT (8.703944396 12.03363736),Kano,POINT (8.485455561340912 11.84524620772727),0.288493669,1095.806746,218,116,0.000545181,0.000290096,5,0.000875405,0.000790595,21.71714558,0.860812582,High,0,0.763755477,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano gwale,0,0,0,0,0,16,0,0,0,2,0,0,1.451075095,107.371,11.96826402,8.468683485,50.841,427405.9482,POINT (8.468683485 11.96826402),Kano,POINT (8.485455561340912 11.84524620772727),0.124155889,3980.646061,16,2,3.74E-05,4.68E-06,2,0.000364533,0.001156326,24.07360722,0.968545216,High,0,0.999982879,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano gwarzo,14,3,0,0,0,127,1,0,0,101,0,2,0.041022885,363.268,11.8834986,7.941833468,91.415,327713.614,POINT (7.941833468 11.8834986),Kano,POINT (8.485455561340912 11.84524620772727),0.544966261,902.1262924,141,104,0.000430254,0.00031735,5,4.55E-05,0.001500177,23.00423441,0.617300131,Medium,1,0.407439442,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kabo,68,0,0,0,0,127,0,0,0,57,0,0,0.048184287,314.364,11.8667322,8.172368881,94.478,142131.3494,POINT (8.172368881 11.8667322),Kano,POINT (8.485455561340912 11.84524620772727),0.313823067,452.1234919,195,57,0.00137197,0.000401037,3,0.000106573,0.000998279,28.39413064,0.574311927,Medium,2,0.370447929,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kano municipal,27,3,0,0,0,21,0,0,0,5,0,0,1.451075095,107.371,11.94045083,8.477484735,50.841,353763.9821,POINT (8.477484735 11.94045083),Kano,POINT (8.485455561340912 11.84524620772727),0.095537711,3294.781478,48,5,0.000135684,1.41E-05,3,0.000440416,0.000889791,24.07360722,0.962778506,High,0,0.943367821,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano karaye,88,3,0,0,0,127,0,0,0,114,0,2,0.065967039,450.051,11.75039562,7.992822961,104.486,225782.4229,POINT (7.992822961 11.75039562),Kano,POINT (8.485455561340912 11.84524620772727),0.501680688,501.6818603,215,116,0.000952244,0.000513769,4,0.000131492,0.00111472,24.2579712,0.617038008,Medium,2,0.374890116,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kibiya,27,1,0,0,0,44,0,0,0,64,1,0,-0.003590599,373.929,11.4879074,8.64464937,85.52,146385.8359,POINT (8.64464937 11.4879074),Kano,POINT (8.485455561340912 11.84524620772727),0.39119521,391.4802968,71,65,0.00048502,0.000444032,4,-9.17E-06,0.001046175,19.55898152,0.281258191,Low,2,0.031740599,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kiru,24,0,0,0,0,100,0,0,0,32,1,2,0.061113066,831.066,11.58852282,8.126619612,178.992,312943.83,POINT (8.126619612 11.58852282),Kano,POINT (8.485455561340912 11.84524620772727),0.441214388,376.5571326,124,35,0.000396237,0.000111841,5,0.000162294,0.000530902,38.55065189,0.570904325,Medium,1,0.364447019,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kumbotso,41,9,0,0,0,17,0,0,0,12,0,0,1.451075095,162.81,11.90499976,8.497289107,63.807,427405.9482,POINT (8.497289107 11.90499976),Kano,POINT (8.485455561340912 11.84524620772727),0.060914036,2625.18241,58,12,0.000135702,2.81E-05,3,0.000552752,0.000374142,25.00665345,0.952293578,High,0,0.888445709,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kunchi,0,0,23,3,0,29,14,0,0,0,0,0,0.005036805,706.672,12.40769156,8.253341051,113.824,211940.9125,POINT (8.253341051 12.40769156),Kano,POINT (8.485455561340912 11.84524620772727),0.608458643,299.9141221,32,14,0.000150985,6.61E-05,3,1.68E-05,0.00086102,18.3336866,0.350720839,Medium,1,0.356691833,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano kura,30,11,0,0,0,100,3,0,0,114,1,2,0.168221299,240.989,11.77075117,8.470033232,78.902,186962.5926,POINT (8.470033232 11.77075117),Kano,POINT (8.485455561340912 11.84524620772727),0.076074693,775.8138031,130,120,0.000695326,0.00064184,6,0.000216832,0.000315677,25.83323556,0.743905636,High,2,0.731274169,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano madobi,79,5,0,0,0,127,0,0,0,114,0,0,0.180882475,267.91,11.80999359,8.35477438,89.933,192410.5215,POINT (8.35477438 11.80999359),Kano,POINT (8.485455561340912 11.84524620772727),0.13535257,718.1908906,206,114,0.001070628,0.000592483,3,0.000251858,0.000505217,30.18903546,0.747313237,High,2,0.726744324,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano makoda,95,1,0,0,0,82,0,0,0,114,0,0,0.017624796,403.585,12.40859583,8.46151557,122.794,206787.3492,POINT (8.46151557 12.40859583),Kano,POINT (8.485455561340912 11.84524620772727),0.563858067,512.3762013,177,114,0.000855952,0.000551291,3,3.44E-05,0.001397123,37.36106752,0.486762779,Medium,2,0.374927484,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano minjibir,0,0,76,22,0,11,14,0,0,0,0,0,0.124624434,415.334,12.17366119,8.597659497,89.745,351215.8834,POINT (8.597659497 12.17366119),Kano,POINT (8.485455561340912 11.84524620772727),0.347053488,845.62276,33,14,9.40E-05,3.99E-05,3,0.000147376,0.000835601,19.3920195,0.716644823,High,1,0.736076499,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano nassarawa,80,0,0,0,0,127,0,0,0,13,0,0,1.451075095,107.371,12.00588309,8.508378021,50.841,427405.9482,POINT (8.508378021 12.00588309),Kano,POINT (8.485455561340912 11.84524620772727),0.162264128,3980.646061,207,13,0.000484317,3.04E-05,3,0.000364533,0.001511247,24.07360722,0.968545216,High,0,1,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano rano,59,0,0,0,0,64,0,0,0,114,1,2,0.025300614,472.851,11.46649745,8.498752304,108.665,184905.243,POINT (8.498752304 11.46649745),Kano,POINT (8.485455561340912 11.84524620772727),0.37898209,391.0433583,123,117,0.000665206,0.000632757,5,6.47E-05,0.000801483,24.97209951,0.493315858,Medium,2,0.365118261,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano rimin gado,102,2,0,0,0,104,4,0,0,114,1,2,0.070413168,210.163,11.92564573,8.2584499,78.295,101291.9619,POINT (8.2584499 11.92564573),Kano,POINT (8.485455561340912 11.84524620772727),0.240822867,481.9685763,206,121,0.002033725,0.001194567,6,0.000146095,0.001145886,29.16834564,0.620969856,Medium,2,0.373828324,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
kano rogo,55,0,0,0,0,67,0,0,0,43,0,0,6.53E-05,814.539,11.50510088,7.84791856,114.528,301983.413,POINT (7.84791856 11.50510088),Kano,POINT (8.485455561340912 11.84524620772727),0.722601046,370.7415029,122,43,0.000403996,0.000142392,3,1.76E-07,0.000887129,16.10317343,0.328440367,Low,1,0.029891868,"Climate adaptation: rainwater harvesting, drought-resistant tech; Prioritize urban/peri-urban service delivery",5.940646812
